Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Flowering and biomass allocation in US Atlantic coast Spartina alterniflora,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1400534,"… allocation from above to belowground was temporally related to flowering phenology. … 
flowering phenology is coincident with this allocation shift as our data suggest, then belowground …","SC Crosby, M Ivens‐Duran…",American Journal of …,2015,48,belowground AND phenology,
Effects of short-term grazing exclusion on plant phenology and reproductive succession in a Tibetan alpine meadow,https://www.nature.com/articles/srep27781,"… on phenological processes and reproductive success. The study indicated that GE strongly 
affected phenological … below-ground biomass allocation of alpine grasslands on the Northern …","J Zhu, Y Zhang, Y Liu",Scientific reports,2016,47,belowground AND phenology,
Dry-season leaf flushing of Enterolobium cyclocarpum (ear-pod tree): above- and belowground phenology and water relations,https://academic.oup.com/treephys/article-abstract/27/11/1561/1672760,"… Fine root density and belowground phenology Measurements of fine root (< 2 mm in 
diameter) density and phenology were conducted from February 1999 to January 2000. Before …",K Rojas,"Jiménez, NM Holbrook… - Tree …",2007,46,roots AND phenology,
Growth and phenology of seedlings of four contrasting slash pine families in ten nitrogen regimes,https://www.researchgate.net/profile/Laura-Dewald/publication/8689985_Growth_and_phenology_of_seedlings_of_four_contrasting_slash_pine_families_in_ten_nitrogen_regimes/links/554e55ee08ae93634ec70224/Growth-and-phenology-of-seedlings-of-four-contrasting-slash-pine-families-in-ten-nitrogen-regimes.pdf,"… flushes, lower shoot/root ratio, higher root fibrosity, and lower N … , higher shoot/root ratios 
and higher root fibrosity at all N … occurred for height, phenology and biomass traits because …","L Dewald, TL White, ML Duryea",Tree Physiology,1992,46,roots AND phenology,
Belowground competition among invading detritivores,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/15-0551.1,"… phenological differences play an important role in determining the outcome of the belowground 
… approach to understand earthworm invasion and its impacts on belowground processes. …","CH Chang, K Szlavecz, T Filley, JS Buyer…",Ecology,2016,46,belowground AND phenology,
Linking belowground and aboveground phenology in two boreal forests in Northeast China,https://link.springer.com/article/10.1007/s00442-014-3055-y,"… We measured root respiration (R a ) as a surrogate for root phenology and integrated it with 
… peak date of root phenology. Both root phenology and leaf phenology were highly specific, …","E Du, J Fang",Oecologia,2014,45,roots AND phenology,
Microbial effects on plant phenology and fitness,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1743,"… On the other hand, root phenology and shoot phenology are often unlinked, and roots are 
… Thus, plants may have fewer or no costs for advancing root phenology early in the season if …","AM O'Brien, NA Ginnan…",American journal of …,2021,45,roots AND phenology,
Growth and phenology of eight common weed species,https://www.sciencedirect.com/science/article/pii/S0140196304001491,"… allocation and phenological behaviour were … to roots with age. Most of the studied species 
invest relatively large proportions of phytomass into the reproductive parts. The phenological …","AK Hegazy, GM Fahmy, MI Ali, NH Gomaa",Journal of Arid Environments,2005,45,roots AND phenology,
Leaf phenological traits in the mangrove Kandelia candel (L.) Druce,https://www.sciencedirect.com/science/article/pii/S0304377000001091,"… of χ 2 testing on canonical roots extracting from analysis of phenological data with the … 
roots intact was very strong (Can. R=0.964 χ 2 (24)=71.63, p=0.00001). When successive roots …","P Gwada, T Makoto, Y Uezu",Aquatic Botany,2000,45,roots AND phenology,
Quantifying the effects of phenology on ecosystem evapotranspiration in planted grassland mesocosms using EcoCELL technology,https://www.sciencedirect.com/science/article/pii/S0168192303001114,"… Use of plant phenological variables in models predicting … significant—changes in plant 
phenology that are expected to occur … how plant phenology (leaf area index [LAI] and root length …","D Obrist, PSJ Verburg, MH Young, JS Coleman…",Agricultural and Forest …,2003,45,roots AND phenology,
"Influence of soil microplastic contamination and cadmium toxicity on the growth, physiology, and root growth traits of Triticum aestivum L.",https://www.sciencedirect.com/science/article/pii/S0254629923004039,"… greater changes in crop phenology caused by soil contamination with MP, Cd toxicity, their 
interaction, and the relationship between leaf gas exchange and root growth traits. In general, …","B Iqbal, Q Javed, I Khan, M Tariq, N Ahmad…",South African Journal of …,2023,45,roots AND phenology,
Seasonality and partitioning of root allocation to rhizosphere soils in a midlatitude forest,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1547,"… timing, or phenology, of root C allocation is affected by the phenology of its component … 
The objective of this study was to estimate the phenology and partitioning of C belowground …","RZ Abramoff, AC Finzi",Ecosphere,2016,45,belowground AND phenology,
Root longevity and phenology differences between two co‐occurring savanna bunchgrasses with different leaf habits,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2435.2003.00695.x,"… roots were quantified from the traced acetates for each cohort and mapping date. Lateral 
roots were counted as new roots … calculated as the time between birth and death of each root. …","JB West, JF Espeleta, LA Donovan",Functional Ecology,2003,43,roots AND phenology,
Mycorrhizal dynamics of three woodland herbs of contrasting phenology along topographic gradients,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1995.tb12680.x,"… Root turnover and root phenology in these species may also contribute to seasonal 
variations in PRLC. The roots of T. flexipes and S. racemosa persist f?r at least 3 and 5 yr: …","BG DeMars, REJ Boerner",American Journal of Botany,1995,43,roots AND phenology,
Soybean root development relative to vegetative and reproductive phenology,https://acsess.onlinelibrary.wiley.com/doi/abs/10.2134/agronj2012.0199,"… root phenology and soybean vegetative (Vn) and reproductive (Rn) phenology should not 
be overlooked. A calibration of the root phenology with some aspect of shoot phenology might …","JA Torrion, TD Setiyono, KG Cassman…",Agronomy …,2012,42,roots AND phenology,
Fructan Variations in Tuberous Roots of Viguiera discolor Baker (Asteraceae): the Influence of Phenology,https://academic.oup.com/pcp/article-abstract/34/5/723/1855652,"… a pattern of periodic changes in the fructans accumulated in the tuberous roots of Viguiera 
discolor, a perennial herbaceous species from the cerrado with a typical seasonal phenology. …","EM Isejima, RCL Figueiredo",Ribeiro - Plant and Cell Physiology,1993,42,roots AND phenology,
Is temporal variation of soil respiration linked to the phenology of photosynthesis?,https://link.springer.com/chapter/10.1007/978-1-4419-0026-5_8,"… The ultimate source of carbohydrates for root and soil … phenology and SR, as mediated by 
the supply of photosynthate for respiration of roots, mycorrhizae, and heterotrophs utilizing root …","EA Davidson, NM Holbrook",Phenology of Ecosystem Processes …,2009,42,roots AND phenology,
Multifaceted functional diversity for multifaceted crop yield: Towards ecological assembly rules for varietal mixtures,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2664.13735,"… Except for phenological traits that we assessed at the plot level, … , below-ground and 
phenological traits significantly affected RYT BY and RYT GPC (Figure 3A,C), whereas phenological …","G Montazeaud, C Violle, P Roumet…",Journal of Applied …,2020,42,belowground AND phenology,
Influence of plant phenology on the insect herbivore/bittercress interaction,https://link.springer.com/article/10.1007/BF00378247,"… The result is particularly interesting since so little information is available on below-ground, … 
Our data on the impact of herbivory on plant belowground growth complement and contrast …","SK Collinge, SM Louda",Oecologia,1989,42,belowground AND phenology,
"Phenology, physiology and agronomy",https://australianoilseeds.com/wp-content/uploads/2024/04/Chapter_3_-_Phenology_Physiology_and_Agronomy.pdf,"… roots will penetrate downwards through the soil at about 1 cm per day. Typically about two-thirds 
of the total root system … Parameters describing the phenological responses of Australian …","G Walton, N Mendham…",Canola in Australia …,1999,41,roots AND phenology,
"Maize phenology affects establishment, damage, and development of the western corn rootworm (Coleoptera: Chrysomelidae)",https://academic.oup.com/ee/article-abstract/37/6/1558/502785,"… maize roots was significantly impacted by plant phenology at … by egg level by maize phenology 
did not significantly affect … of egg infestation level and maize phenology (F = 3.89; df = 4,…","BE Hibbard, YM Schweikert, ML Higdon…",Environmental …,2008,41,roots AND phenology,
The dark side of animal phenology,https://www.sciencedirect.com/science/article/pii/S0169534718302313,"… However, the temporal dynamics have rarely been related to phenology of … phenology is 
just a matter of turning soil activity off and on (ie, soil microbial activity responds rapidly to root …","N Eisenhauer, S Herrmann, J Hines, F Buscot…",Trends in Ecology & …,2018,41,roots AND phenology,
